scenario,size,instance,scale,customers,vehicle_pairs,trial_count,status,elapsed_seconds,offline_obj,offline_objective,avg_actual_cost,mean_actual_cost,worst_actual_cost,avg_fail,average_failed_customers,cost_std,average_online_replanning_seconds,worst_online_replanning_seconds
gamma,Small,small_8c_1v_seed1,small,8,1,30,OK,9.1,37.5346598700223,37.5346598700223,36.16105026904356,36.16105026904356,48.54733161191555,1.4,1.4,4.765455566147367,0.0514115166656362,0.134174000006169
gamma,Small,small_8c_1v_seed2,small,8,1,30,OK,8.5,41.67195908902457,41.67195908902457,39.43666542432103,39.43666542432103,52.19794797116642,1.2333333333333334,1.2333333333333334,6.5192132648058125,0.0264224233299804,0.0814500000560656
gamma,Small,small_8c_1v_seed3,small,8,1,30,OK,11.3,34.8501477263752,34.8501477263752,36.75789173632971,36.75789173632971,44.85669703510622,2.2333333333333334,2.2333333333333334,4.378029526688271,0.0591907500017744,0.1437514999415725
delta,Small,small_10c_1v_seed1,small,10,1,30,OK,23.9,62.567005417707605,62.567005417707605,67.65202611254259,67.65202611254259,90.47234092429862,5.3,5.3,10.636812839967275,0.2428561099843743,0.5857928002951667
delta,Small,small_10c_1v_seed2,small,10,1,30,OK,18.7,78.85886439525041,78.85886439525041,80.59786680129862,80.59786680129862,107.81732067104338,4.866666666666666,4.866666666666666,15.48464452758825,0.1591071799746714,0.3657906999578699
delta,Small,small_10c_1v_seed3,small,10,1,30,OK,25.0,65.94351275617785,65.94351275617785,69.96645206221716,69.96645206221716,83.67103978576947,5.333333333333333,5.333333333333333,8.776553695396531,0.1283234099896314,0.2149744001217186
delta,Small,small_12c_1v_seed1,small,12,1,30,OK,48.0,68.5881515787737,68.5881515787737,68.72832205631467,68.72832205631467,88.4470309218081,6.033333333333333,6.033333333333333,10.116894312271818,0.2050587499941078,0.3932711998932063
delta,Small,small_12c_1v_seed2,small,12,1,30,OK,65.2,87.37652693781546,87.37652693781546,83.24547932279346,83.24547932279346,120.67675950433932,5.7,5.7,15.296695782290184,0.1998223133385181,0.4208441000664606
delta,Small,small_12c_1v_seed3,small,12,1,30,OK,38.0,59.6291043793445,59.6291043793445,58.59120780945937,58.59120780945937,76.2626970263639,6.133333333333334,6.133333333333334,8.630119651500918,0.1661529366819498,0.29615019983612
delta,Small,small_15c_1v_seed1,small,15,1,30,OK,172.2,81.51932270659223,81.51932270659223,76.98215166201656,76.98215166201656,100.99640939778855,6.366666666666666,6.366666666666666,11.989555965249874,0.7686566800073099,1.618747100001201
delta,Small,small_15c_1v_seed2,small,15,1,30,OK,79.6,102.16341942328064,102.16341942328064,101.32602582647608,101.32602582647608,124.25681552734048,7.733333333333333,7.733333333333333,15.016807932400283,0.3989118799722443,0.6010953999357298
delta,Small,small_15c_1v_seed3,small,15,1,30,OK,80.9,81.40824586512623,81.40824586512623,78.58133177877474,78.58133177877474,100.32822509498212,6.9,6.9,10.094050937063502,0.3072575233605069,0.5206193998456001
delta,Small,small_16c_1v_seed1,small,16,1,30,OK,99.1,91.92108227233138,91.92108227233138,92.288748340811,92.288748340811,121.11902910350902,8.0,8.0,15.712997178773758,0.5606791133449103,0.939788700081408
delta,Small,small_16c_1v_seed2,small,16,1,30,OK,125.3,117.81892141677478,117.81892141677478,121.57367154681415,121.57367154681415,164.894200575565,8.1,8.1,19.08636435460208,0.5113327733473852,0.7989221999887377
delta,Small,small_16c_1v_seed3,small,16,1,30,OK,136.4,70.8910585716535,70.8910585716535,71.78815033687766,71.78815033687766,98.71848115681196,7.333333333333333,7.333333333333333,11.069914449546182,1.5274571733588045,2.667160500306636
