experiment,instance_class,instance_name,instance_scale,analysis_mode,parameter_name,parameter_value,x_numeric,parameter_order,is_baseline,drone_capacity_factor,drone_speed_factor,drone_battery_factor,run_count,z_total_mean,z_total_std,solve_seconds_mean,solve_seconds_std,unserved_count_mean,unserved_count_std,sortie_count_mean,sortie_count_std,avg_customers_per_sortie_mean,avg_customers_per_sortie_std,drone_serviceable_count_mean,drone_serviceable_count_std,drone_served_customers_mean,drone_served_customers_std,drone_utilization_mean,drone_utilization_std,sortie_attempted_mean,sortie_attempted_std,sortie_selected_mean,sortie_selected_std,sortie_feasible_rate_mean,sortie_feasible_rate_std,z_fixed_mean,z_fixed_std,z_truck_mean,z_truck_std,z_drone_mean,z_drone_std,z_fail_expected_mean,z_fail_expected_std,z_unserved_penalty_mean,z_unserved_penalty_std,z_tw_penalty_mean,z_tw_penalty_std,z_fixed_ratio_mean,z_fixed_ratio_std,z_truck_ratio_mean,z_truck_ratio_std,z_drone_ratio_mean,z_drone_ratio_std,z_fail_expected_ratio_mean,z_fail_expected_ratio_std,z_unserved_penalty_ratio_mean,z_unserved_penalty_ratio_std,z_tw_penalty_ratio_mean,z_tw_penalty_ratio_std,online_success_rate_mean,online_success_rate_std,mc_mean_mean,mc_mean_std,mc_std_mean,mc_std_std,z_total_mean_std,solve_seconds_mean_std,unserved_count_mean_std,sortie_count_mean_std
5.2,deterministic,large_150c_9v_seed3.json,large,speed_only,drone_speed_factor,1.5,1.5,7,False,1.0,1.5,1.0,1,1183.6294035264036,0.0,1651.7316187000833,0.0,0.0,0.0,31.0,0.0,1.032258064516129,0.0,136.0,0.0,32.0,0.0,0.23529411764705882,0.0,160158.0,0.0,53.0,0.0,0.00033092321332683976,0.0,176.0,0.0,315.0688824775138,0.0,26.368077320599195,0.0,666.1924437282906,0.0,0.0,0.0,0.0,0.0,0.14869519080519691,0.0,0.2661887931634891,0.0,0.022277308456549332,0.0,0.5628387075747647,0.0,0.0,0.0,0.0,0.0,74.0,0.0,1295.404365505746,0.0,2.2358505881777884,0.0,1183.6294+/-0.0000,1651.7316+/-0.0000,0.0000+/-0.0000,31.0000+/-0.0000
5.2,deterministic,medium_60c_4v_seed1.json,medium,speed_only,drone_speed_factor,0.6,0.6,1,False,1.0,0.6,1.0,1,305.1421925961403,0.0,948.7675913001876,0.0,0.0,0.0,9.0,0.0,1.2222222222222223,0.0,57.0,0.0,11.0,0.0,0.19298245614035087,0.0,80462.0,0.0,22.0,0.0,0.00027342099376103003,0.0,88.0,0.0,107.12695151759155,0.0,5.419968956972217,0.0,104.59527212157654,0.0,0.0,0.0,0.0,0.0,0.2883901411709037,0.0,0.3510722349018953,0.0,0.01776210923458106,0.0,0.3427755146926199,0.0,0.0,0.0,0.0,0.0,75.0,0.0,415.91013198595437,0.0,1.387806322168944,0.0,305.1422+/-0.0000,948.7676+/-0.0000,0.0000+/-0.0000,9.0000+/-0.0000
5.2,deterministic,medium_60c_4v_seed1.json,medium,speed_only,drone_speed_factor,0.75,0.75,2,False,1.0,0.75,1.0,1,311.422686547278,0.0,1113.7097049001604,0.0,0.0,0.0,9.0,0.0,1.5555555555555556,0.0,57.0,0.0,14.0,0.0,0.24561403508771928,0.0,80462.0,0.0,20.0,0.0,0.0002485645397827546,0.0,66.0,0.0,85.83655770991166,0.0,7.0304705355733,0.0,152.55565830179302,0.0,0.0,0.0,0.0,0.0,0.21193061023182827,0.0,0.27562718266153213,0.0,0.022575331982135422,0.0,0.48986687512450416,0.0,0.0,0.0,0.0,0.0,75.0,0.0,372.9628145556344,0.0,1.489050792126295,0.0,311.4227+/-0.0000,1113.7097+/-0.0000,0.0000+/-0.0000,9.0000+/-0.0000
5.2,deterministic,medium_60c_4v_seed1.json,medium,speed_only,drone_speed_factor,0.85,0.85,3,False,1.0,0.85,1.0,1,295.1368524047706,0.0,967.5751586998813,0.0,0.0,0.0,10.0,0.0,1.3,0.0,57.0,0.0,13.0,0.0,0.22807017543859648,0.0,80462.0,0.0,20.0,0.0,0.0002485645397827546,0.0,66.0,0.0,83.17416762048765,0.0,7.395190696074257,0.0,138.5674940882087,0.0,0.0,0.0,0.0,0.0,0.2236250724443017,0.0,0.2818155948428188,0.0,0.02505681901740957,0.0,0.4695025136954699,0.0,0.0,0.0,0.0,0.0,75.0,0.0,371.70450063738355,0.0,2.234533283142144,0.0,295.1369+/-0.0000,967.5752+/-0.0000,0.0000+/-0.0000,10.0000+/-0.0000
5.2,deterministic,medium_60c_4v_seed1.json,medium,speed_only,drone_speed_factor,1.0,1.0,4,True,1.0,1.0,1.0,1,311.3601029956373,0.0,1069.6824708001222,0.0,0.0,0.0,6.0,0.0,1.5,0.0,57.0,0.0,9.0,0.0,0.15789473684210525,0.0,80462.0,0.0,18.0,0.0,0.00022370808580447914,0.0,66.0,0.0,109.26730466428779,0.0,6.152549564778203,0.0,129.9402487665713,0.0,0.0,0.0,0.0,0.0,0.21197320840083603,0.0,0.35093547186364726,0.0,0.019760237440775805,0.0,0.41733108229474086,0.0,0.0,0.0,0.0,0.0,75.0,0.0,392.0048066091416,0.0,1.2542157482751337,0.0,311.3601+/-0.0000,1069.6825+/-0.0000,0.0000+/-0.0000,6.0000+/-0.0000
5.2,deterministic,medium_60c_4v_seed1.json,medium,speed_only,drone_speed_factor,1.15,1.15,5,False,1.0,1.15,1.0,1,308.49284527638133,0.0,1018.9635294000618,0.0,0.0,0.0,10.0,0.0,1.6,0.0,57.0,0.0,16.0,0.0,0.2807017543859649,0.0,80462.0,0.0,17.0,0.0,0.00021127985881534141,0.0,66.0,0.0,84.1018612212008,0.0,9.728533946464658,0.0,148.66245010871586,0.0,0.0,0.0,0.0,0.0,0.21394337343827227,0.0,0.2726217560924411,0.0,0.03153568744114238,0.0,0.4818991830281442,0.0,0.0,0.0,0.0,0.0,75.0,0.0,373.5723211153719,0.0,1.6915902351990293,0.0,308.4928+/-0.0000,1018.9635+/-0.0000,0.0000+/-0.0000,10.0000+/-0.0000
5.2,deterministic,medium_60c_4v_seed1.json,medium,speed_only,drone_speed_factor,1.3,1.3,6,False,1.0,1.3,1.0,1,320.2803343804924,0.0,908.4977158000693,0.0,0.0,0.0,12.0,0.0,1.1666666666666667,0.0,57.0,0.0,14.0,0.0,0.24561403508771928,0.0,80462.0,0.0,18.0,0.0,0.00022370808580447914,0.0,66.0,0.0,89.44709924502743,0.0,10.079466363473161,0.0,154.75376877199182,0.0,0.0,0.0,0.0,0.0,0.2060694738803168,0.0,0.27927752547792856,0.0,0.031470762583564606,0.0,0.48318223805819016,0.0,0.0,0.0,0.0,0.0,75.0,0.0,379.034390895566,0.0,2.897647012691042,0.0,320.2803+/-0.0000,908.4977+/-0.0000,0.0000+/-0.0000,12.0000+/-0.0000
5.2,deterministic,medium_60c_4v_seed1.json,medium,speed_only,drone_speed_factor,1.5,1.5,7,False,1.0,1.5,1.0,1,317.7304103427867,0.0,853.1474085999653,0.0,0.0,0.0,14.0,0.0,1.0,0.0,57.0,0.0,14.0,0.0,0.24561403508771928,0.0,80462.0,0.0,17.0,0.0,0.00021127985881534141,0.0,88.0,0.0,94.28134875032383,0.0,10.424016402800225,0.0,125.02504518966263,0.0,0.0,0.0,0.0,0.0,0.276964360776988,0.0,0.2967337896571104,0.0,0.032807739087845476,0.0,0.3934941104780562,0.0,0.0,0.0,0.0,0.0,75.0,0.0,407.3728437871515,0.0,1.1862858981968671,0.0,317.7304+/-0.0000,853.1474+/-0.0000,0.0000+/-0.0000,14.0000+/-0.0000
5.2,deterministic,medium_60c_4v_seed2.json,medium,speed_only,drone_speed_factor,0.6,0.6,1,False,1.0,0.6,1.0,1,330.77443109074454,0.0,2021.9344760999084,0.0,0.0,0.0,11.0,0.0,1.4545454545454546,0.0,56.0,0.0,16.0,0.0,0.2857142857142857,0.0,60869.0,0.0,25.0,0.0,0.00041071809952520987,0.0,88.0,0.0,93.87728646941497,0.0,6.849428746990209,0.0,142.0477158743394,0.0,0.0,0.0,0.0,0.0,0.2660423289364168,0.0,0.283810590074481,0.0,0.020707249724242257,0.0,0.42943983126485996,0.0,0.0,0.0,0.0,0.0,76.66666666666667,0.0,381.7918392613693,0.0,0.7854253179991644,0.0,330.7744+/-0.0000,2021.9345+/-0.0000,0.0000+/-0.0000,11.0000+/-0.0000
5.2,deterministic,medium_60c_4v_seed2.json,medium,speed_only,drone_speed_factor,0.75,0.75,2,False,1.0,0.75,1.0,1,329.1935547788096,0.0,2183.924781000009,0.0,0.0,0.0,6.0,0.0,1.6666666666666667,0.0,56.0,0.0,10.0,0.0,0.17857142857142858,0.0,60869.0,0.0,22.0,0.0,0.0003614319275821847,0.0,88.0,0.0,99.1371279649417,0.0,5.250273999020185,0.0,136.80615281484768,0.0,0.0,0.0,0.0,0.0,0.26731993601493387,0.0,0.3011514852760514,0.0,0.015948896698624395,0.0,0.41557968201039025,0.0,0.0,0.0,0.0,0.0,76.66666666666667,0.0,381.53324411211366,0.0,2.203658659853586,0.0,329.1936+/-0.0000,2183.9248+/-0.0000,0.0000+/-0.0000,6.0000+/-0.0000
