experiment,instance_class,instance_scale,analysis_mode,parameter_name,parameter_value,x_numeric,parameter_order,is_baseline,instance_count,z_total_mean_across_instances_mean,z_total_mean_across_instances_std,solve_seconds_mean_across_instances_mean,solve_seconds_mean_across_instances_std,unserved_count_mean_across_instances_mean,unserved_count_mean_across_instances_std,sortie_count_mean_across_instances_mean,sortie_count_mean_across_instances_std,avg_customers_per_sortie_mean_across_instances_mean,avg_customers_per_sortie_mean_across_instances_std,drone_utilization_mean_across_instances_mean,drone_utilization_mean_across_instances_std,sortie_feasible_rate_mean_across_instances_mean,sortie_feasible_rate_mean_across_instances_std,online_success_rate_mean_across_instances_mean,online_success_rate_mean_across_instances_std,mc_mean_mean_across_instances_mean,mc_mean_mean_across_instances_std,mc_std_mean_across_instances_mean,mc_std_mean_across_instances_std,z_fixed_ratio_mean_across_instances_mean,z_fixed_ratio_mean_across_instances_std,z_truck_ratio_mean_across_instances_mean,z_truck_ratio_mean_across_instances_std,z_drone_ratio_mean_across_instances_mean,z_drone_ratio_mean_across_instances_std,z_fail_expected_ratio_mean_across_instances_mean,z_fail_expected_ratio_mean_across_instances_std,z_unserved_penalty_ratio_mean_across_instances_mean,z_unserved_penalty_ratio_mean_across_instances_std
5.2,deterministic,large,speed_only,drone_speed_factor,1.3,1.3,6,False,3,1205.9966386375654,49.439933244376135,2231.8554121667207,1161.2580573233447,0.0,0.0,26.666666666666668,5.131601439446884,1.1609062980030722,0.017860239561034587,0.22476724502750742,0.0458587330984827,0.0002512702402909305,8.551173832264939e-05,69.11111111111111,7.897491397296381,1503.239873382265,332.5644802403471,4.8036038297980115,3.3063034990370377,0.15811093564143397,0.008883004939172623,0.24854627493666367,0.01168759728463845,0.018265566538831168,0.0030741016941002665,0.5750772228830713,0.01568939289163795,0.0,0.0
5.2,deterministic,large,speed_only,drone_speed_factor,1.5,1.5,7,False,3,1202.5654906011332,59.164918084226784,2580.872070666713,1699.3623790780152,0.0,0.0,27.666666666666668,6.6583281184793925,1.010752688172043,0.018624202231923397,0.20313161235717309,0.05137195397543299,0.00023603086007850375,8.275324276877722e-05,69.11111111111111,7.897491397296381,1528.9342787127819,330.8026069927465,3.6469664472509447,2.7708071831293704,0.15236486479529782,0.0036739552832682834,0.2777619891855666,0.010030559714519034,0.02007225036570538,0.0054670970869363,0.5498008956534302,0.011874653491380213,0.0,0.0
5.2,deterministic,medium,speed_only,drone_speed_factor,0.6,0.6,1,False,3,300.97828001088493,32.081417606849385,1547.227334633392,547.1817070309145,0.0,0.0,10.333333333333334,1.1547005383792515,1.4377104377104377,0.20758333524307546,0.2612604958724495,0.05991845886590748,0.00035012661184471473,7.005264243262595e-05,73.88888888888889,3.4694433324435563,383.184859608479,32.05147403132793,1.5115921478509053,0.7953177704746338,0.2672022058787988,0.0206324627434997,0.2927121476995783,0.05445770677487108,0.021959941262916897,0.004944655548353486,0.41812570515870595,0.07037854144386187,0.0,0.0
5.2,deterministic,medium,speed_only,drone_speed_factor,0.75,0.75,2,False,3,309.7199368827097,20.378416197634294,1613.5086532667435,538.5909085698818,0.0,0.0,8.333333333333334,2.0816659994661326,1.6074074074074074,0.05592469952052409,0.231790634779038,0.04782990606246327,0.00032089091255924535,6.278927880464685e-05,73.88888888888889,3.4694433324435563,369.5124952043402,14.066930386661896,1.758433346792837,0.38840263633785865,0.23599516668437473,0.028399425539124862,0.27253200624258545,0.030285921380045988,0.021566614952149454,0.00518744449132505,0.4699062121208903,0.047596285377112524,0.0,0.0
5.2,deterministic,medium,speed_only,drone_speed_factor,0.85,0.85,3,False,3,301.7021723235116,23.40764873632897,1511.084670099973,583.0939560492947,0.0,0.0,9.333333333333334,2.0816659994661326,1.2428571428571429,0.21992577597629506,0.1979967574302989,0.029320794069961673,0.00031541467123224256,5.802089317048307e-05,73.88888888888889,3.4694433324435563,369.58559558586325,7.0771302309632445,2.5168601859550632,0.24452931600267977,0.24199408538331135,0.023551394559552196,0.2929754652275261,0.02088067132124575,0.023244251167511318,0.0034352484152002753,0.4417861982216512,0.024079144860601143,0.0,0.0
5.2,deterministic,medium,speed_only,drone_speed_factor,1.0,1.0,4,True,3,304.3501949531192,26.29653150557709,1504.335876866787,500.63860227814143,0.0,0.0,8.333333333333334,2.0816659994661326,1.3074074074074074,0.16715976439106306,0.18590437959305042,0.02450550646836472,0.00030260769592778153,6.83925326485551e-05,73.88888888888889,3.4694433324435563,373.66917160921304,16.654847874638577,1.4447921682886613,1.102006067547664,0.21797791823388202,0.019500044948974393,0.31357110036065994,0.041374878592720155,0.022278616323275553,0.0036155468102502517,0.4461723650821825,0.025312582289949415,0.0,0.0
5.2,deterministic,medium,speed_only,drone_speed_factor,1.15,1.15,5,False,3,308.0711939111791,26.06609178367776,1335.826251600093,400.7770767415003,0.0,0.0,9.333333333333334,3.0550504633038935,1.2555555555555555,0.309719108105919,0.2030305282981465,0.07785149904321428,0.0002775147389720247,5.9268508786362714e-05,73.88888888888889,3.4694433324435563,372.9096116591243,18.347988050995053,2.556031055528574,0.8572936577240109,0.23722925328733396,0.02493223300490288,0.29126697850640104,0.02175669443770026,0.025251214837542727,0.009788076094089927,0.44625255336872227,0.03739673562360596,0.0,0.0
5.2,deterministic,medium,speed_only,drone_speed_factor,1.3,1.3,6,False,3,308.3431899224843,22.259161495972524,1356.949582433328,637.782782615538,0.0,0.0,10.0,2.0,1.088888888888889,0.08388704928078615,0.19254527561842458,0.05511311013956445,0.0002926099639557429,5.9689970042452184e-05,73.88888888888889,3.4694433324435563,371.1878608648361,9.262771635368923,1.6801864211517694,1.1675332437038963,0.23759393144778831,0.03376126124532142,0.2789013808797011,0.010472876730346001,0.024279889678670837,0.0062829534215681155,0.4592247979938398,0.023131276217151556,0.0,0.0
5.2,deterministic,medium,speed_only,drone_speed_factor,1.5,1.5,7,False,3,301.4530660277687,19.342884015368053,1482.380508099993,794.7221930575279,0.0,0.0,10.666666666666666,3.0550504633038935,1.0666666666666667,0.11547005383792512,0.19849765657080554,0.05668414235305057,0.00027846948965399166,5.818798418376641e-05,73.88888888888889,3.4694433324435563,372.5928748157068,34.34023727992766,1.1641610149028212,0.09545215184700988,0.24263765354265615,0.03142306147427434,0.29351638762261306,0.04263394725138202,0.027749694452160193,0.004822922800749566,0.4360962643825707,0.0627084116421703,0.0,0.0
5.2,deterministic,small,speed_only,drone_speed_factor,0.6,0.6,1,False,3,59.798854084640766,11.902208777855641,100.45920993333372,13.189159299198444,0.0,0.0,3.0,0.0,1.6666666666666667,0.33333333333333337,0.35494505494505496,0.046193075949414734,0.0007231946815082225,0.00010988840976192253,68.88888888888889,13.877773329774216,70.83667922420472,24.97761887195205,0.3128199016514503,0.30225284968163096,0.3769823682754193,0.06858368767372314,0.25082923161301074,0.050834327004981146,0.036405368669787386,0.009940026407456224,0.33578303144178256,0.03319460661920338,0.0,0.0
