scenario_family,instance,scale,customers,vehicle_pairs,trial_count,status,elapsed_seconds,offline_objective,mean_actual_cost,worst_actual_cost,average_failed_customers,cost_std,average_online_replanning_seconds,worst_online_replanning_seconds
delta,large_200c_13v_seed1,large,200,13,30,OK,3360.8,3108.442083351152,3020.3494590257874,3455.6815150933608,92.7,180.88563282446495,29.27993156001903,39.11390070151538
delta,large_200c_13v_seed2,large,200,13,30,OK,3274.8,3170.237279767457,3180.518912643605,3517.038242768387,98.73333333333333,191.84219656461397,28.70491699349756,37.339525701943785
delta,large_200c_13v_seed3,large,200,13,30,OK,2233.7,3170.0806137695918,3044.743731313613,3249.3564873868154,97.06666666666666,110.83836173034894,13.802904040094775,16.991321400972083
delta,large_250c_15v_seed1,large,250,15,30,OK,4430.7,4089.5579925246275,4032.6052198166926,4500.321641624794,118.53333333333333,222.27383222923473,24.454701473082725,30.795178797561675
delta,large_250c_15v_seed2,large,250,15,30,OK,4162.9,4413.900426279636,4332.642441184263,4739.055458190173,119.93333333333334,194.55132047859595,30.489311649999582,38.85344730131328
delta,large_250c_15v_seed3,large,250,15,30,OK,5486.6,4153.235361450105,4179.90342226003,4730.668686477127,124.76666666666667,230.008485530863,14.68740820348418,17.12623960035853
delta,large_280c_18v_seed1,large,280,18,30,OK,5009.4,5163.541399229918,4992.817291781223,5624.958940636783,131.56666666666666,219.73791322643754,20.28502556026603,25.545881798956543
delta,large_280c_18v_seed2,large,280,18,30,OK,8767.5,5196.682891865392,4949.217915749857,5392.776495039417,129.23333333333332,214.5117080618563,19.62027517304911,22.51009810063988
delta,large_280c_18v_seed3,large,280,18,30,OK,8748.5,5156.635971744057,5053.817563433855,5426.986518248626,133.9,235.6517052531264,20.733671790206184,24.32284780056216
delta,large_300c_20v_seed1,large,300,20,30,OK,4200.7,5221.147016755724,5172.098296005892,5674.397573465809,141.7,291.17347528236814,26.89978621309468,37.2291593994014
delta,large_300c_20v_seed2,large,300,20,30,OK,4286.3,5459.420934279996,5424.6832814338895,5885.953780715652,142.36666666666667,247.20082717979798,23.423190580160977,28.595945901004598
delta,large_300c_20v_seed3,large,300,20,30,OK,4156.2,5590.1732879966685,5506.25821173287,6146.963413543551,144.93333333333334,251.02221394348112,16.233600093680433,18.426966601749882
epsilon,large_150c_9v_seed1,large,150,9,30,OK,7323.1,1839.2203933002022,1823.0189702380894,1953.6720914448117,66.53333333333333,74.13095154495137,47.96372804665783,58.74256889941171
epsilon,large_150c_9v_seed2,large,150,9,30,OK,2345.3,2063.4292872186124,2061.8976523633255,2229.2384875692665,67.66666666666667,78.94956841001802,13.969279450077254,17.996101501164958
epsilon,large_150c_9v_seed3,large,150,9,30,OK,2038.3,1899.4830931781162,1881.4204042864,2034.1472647918058,66.03333333333333,80.09992223593777,10.932487643067725,13.176548299612477
epsilon,large_180c_11v_seed1,large,180,11,30,OK,2808.1,2602.9100705459186,2596.068321198484,2827.696422003698,79.56666666666666,134.64577791567342,17.61116659648251,20.655589799629524
epsilon,large_180c_11v_seed2,large,180,11,30,OK,4314.9,2489.6331916481954,2449.3397296883513,2634.2842253453327,78.03333333333333,86.94412999162601,14.526311816841675,17.192537900991738
epsilon,large_180c_11v_seed3,large,180,11,30,OK,2521.6,2568.9921958098307,2531.7293733033757,2721.4407758615425,79.13333333333334,96.92331002069264,22.31865336674576,29.17419479903765
epsilon,large_200c_13v_seed1,large,200,13,30,OK,3655.8,2987.827857493035,2933.1768880223026,3138.3899143971566,86.7,91.55811697666844,23.143088916596025,27.668165700277314
epsilon,large_200c_13v_seed2,large,200,13,30,OK,2668.9,2950.547607848258,2881.9984863067316,3138.2241090959596,86.43333333333334,134.83961345532109,11.076595766904454,13.708800001768395
epsilon,large_200c_13v_seed3,large,200,13,30,OK,2004.1,2878.689529025527,2795.761560881697,3070.1640343132985,86.7,102.42421294964417,10.932776536800278,12.151808700757101
epsilon,large_250c_15v_seed1,large,250,15,30,OK,4463.9,3708.7737158183754,3595.7440030167127,3826.013381705856,107.53333333333333,120.46953803259031,20.354452950422033,24.549093301640823
epsilon,large_250c_15v_seed2,large,250,15,30,OK,3670.4,4147.037921108467,4096.182982645401,4383.186669445985,110.8,168.48222946466146,28.10101112985673,35.1240808989387
epsilon,large_250c_15v_seed3,large,250,15,30,OK,5050.7,3816.384722453525,3820.1765634065,4017.876928210315,110.93333333333334,116.73697043904102,14.037774799834006,16.054107499076054
epsilon,large_280c_18v_seed1,large,280,18,30,OK,4437.4,4783.813876652279,4716.097470774163,5066.765161401561,118.3,178.32685621217794,25.957341477119673,29.905964299105108
epsilon,large_280c_18v_seed2,large,280,18,30,OK,8293.0,4855.868729100972,4772.766876601954,5047.388091734247,119.56666666666666,130.67697868357413,15.892945833263608,20.08855670085177
epsilon,large_280c_18v_seed3,large,280,18,30,OK,8289.0,4883.929486286953,4898.444471282996,5144.35956775193,122.13333333333334,126.09675602360201,16.173706140082018,19.156942002708092
epsilon,large_300c_20v_seed1,large,300,20,30,OK,3975.0,4958.189541409759,4884.308005317499,5059.895330080294,133.1,104.76898287675122,20.684929720141614,22.714570800308138
epsilon,large_300c_20v_seed2,large,300,20,30,OK,3571.4,5038.876595718438,4977.412130189586,5313.0676659233995,129.23333333333332,146.3785179932195,16.046575970024183,18.372111199889332
epsilon,large_300c_20v_seed3,large,300,20,30,OK,4180.4,5063.2765909498185,5064.754384179506,5401.638923711293,131.83333333333334,166.0434317891009,20.168920539901592,22.483019500039518
