scenario_family,instance,scale,customers,vehicle_pairs,trial_count,status,elapsed_seconds,offline_objective,mean_actual_cost,worst_actual_cost,average_failed_customers,cost_std,average_online_replanning_seconds,worst_online_replanning_seconds
beta,medium_100c_7v_seed3,medium,100,7,30,OK,1485.8,831.3805196677076,811.0641626610969,827.9221713750196,28.2,8.310791623066208,7.7237580333681155,9.043536299839616
beta,medium_30c_2v_seed1,medium,30,2,30,OK,387.9,175.5197294695804,174.11990469793417,174.31017686061637,9.0,0.12201516313825833,1.4164381133431259,1.6431872999528423
beta,medium_30c_2v_seed2,medium,30,2,30,OK,218.9,184.81061546972182,184.0414037375072,184.0414037375072,9.0,0.0,0.7439594466355629,0.9349517000373453
beta,medium_30c_2v_seed3,medium,30,2,30,OK,276.5,169.91130239702255,169.01702967870338,169.1672181685901,9.0,0.12290842182741231,0.633160433305117,0.8429186998400837
beta,medium_40c_3v_seed1,medium,40,3,30,OK,279.2,251.92476735778527,251.68836795945896,252.56950558788893,12.0,0.30905597020471987,0.46427930002100765,0.5509802999440581
beta,medium_40c_3v_seed2,medium,40,3,30,OK,1548.9,241.21982893685623,239.8656045936279,240.45294759686425,12.0,0.3466448995461286,3.0155658100071983,4.23381879995577
beta,medium_40c_3v_seed3,medium,40,3,30,OK,601.6,186.85682897138713,186.79791099286416,187.5142851511464,12.0,0.18000697100572705,1.7339383299966964,2.188991399947554
beta,medium_50c_3v_seed1,medium,50,3,30,OK,931.6,300.85201237445676,298.3024942728055,298.49809084036417,15.0,0.10387517140822154,3.7101801299722865,4.126056999899447
beta,medium_50c_3v_seed2,medium,50,3,30,OK,935.9,315.5707725684117,313.6613387158498,314.3775540567466,15.0,0.3224297910608921,2.514188609966853,3.081710100057535
beta,medium_50c_3v_seed3,medium,50,3,30,OK,607.9,297.2435077625792,295.3978160852996,296.1739941348626,15.0,0.5175370582790143,1.889712446660269,2.306008099927567
beta,medium_60c_4v_seed1,medium,60,4,30,OK,1230.7,417.02555629409596,415.5580996553993,425.4791967657925,17.966666666666665,4.552882461012954,6.511005053296685,7.489847999881022
beta,medium_60c_4v_seed2,medium,60,4,30,OK,5398.3,398.50041716226315,397.785065906413,411.03791436233416,18.0,2.4698330536149586,3.439978449981815,4.24414159974549
beta,medium_60c_4v_seed3,medium,60,4,30,OK,1389.3,339.35485026067454,341.04778461755507,351.66438747718996,17.766666666666666,10.956114114594985,1.9816085899287523,2.4123974996618927
beta,medium_80c_5v_seed1,medium,80,5,30,OK,1609.7,504.50545904017486,498.7651547829456,514.1175266868847,23.566666666666666,7.710515049177178,12.614016713372742,16.467146200011484
beta,medium_80c_5v_seed2,medium,80,5,30,OK,1070.4,474.5678588678403,479.8598626178173,485.8604270896755,23.933333333333334,6.2001000191444895,3.674638100026641,4.4741318001179025
beta,medium_80c_5v_seed3,medium,80,5,30,OK,1580.6,475.5507467284653,475.22527039943293,476.62551345162444,24.0,0.9409997354013921,3.4292714200215415,4.22629059990868
gamma,medium_100c_7v_seed1,medium,100,7,30,OK,1391.9,600.5469447399743,599.3012825050222,714.696370827337,20.733333333333334,49.90302312717808,3.1952625433254678,7.479231399716809
gamma,medium_100c_7v_seed2,medium,100,7,30,OK,2057.1,639.1833543428356,624.130897600149,776.2449759770005,18.5,65.09829391498282,3.5685636300050345,7.10777889972087
gamma,medium_100c_7v_seed3,medium,100,7,30,OK,1593.2,645.6704158520126,652.0268476768567,831.1229711038336,20.3,75.30051527609837,2.597294883367916,4.80562039965298
gamma,medium_30c_2v_seed1,medium,30,2,30,OK,320.4,150.80110685691193,141.51112283800796,228.98281586067685,5.233333333333333,24.10788706275563,0.5063301766524091,1.1644401003140956
gamma,medium_30c_2v_seed2,medium,30,2,30,OK,260.0,160.52700733157351,176.2441366408013,243.5173055607043,7.2,30.656193347330774,0.3871394200056481,0.782883099745959
gamma,medium_30c_2v_seed3,medium,30,2,30,OK,248.2,144.7036758463069,146.83132425555905,214.07149426004116,6.466666666666667,27.0406458205256,1.0949891533780223,2.587028099806048
gamma,medium_40c_3v_seed1,medium,40,3,30,OK,297.4,201.38268601301456,197.4651384844904,245.5656264727032,7.666666666666667,22.342404171521967,0.33127628666115927,0.5951559998793527
gamma,medium_40c_3v_seed2,medium,40,3,30,OK,1495.1,165.46721174766793,159.70075743687568,218.72434161121373,7.266666666666667,24.89071466001377,2.90316419666633,5.240902700112201
gamma,medium_40c_3v_seed3,medium,40,3,30,OK,603.6,151.52575061991323,150.08534359973712,202.17137426967457,8.266666666666667,28.26440780491579,1.7822507266925338,3.3966321998741478
gamma,medium_50c_3v_seed1,medium,50,3,30,OK,978.1,226.88369718043094,234.20339414706248,303.3048329602899,9.3,30.98045806025886,1.7705277099972592,3.5033221000339836
gamma,medium_50c_3v_seed2,medium,50,3,30,OK,859.5,247.19141819166992,250.4883575202961,321.4262354780114,10.433333333333334,32.4493300268774,4.447613463329617,7.924447600031272
gamma,medium_50c_3v_seed3,medium,50,3,30,OK,513.0,225.26841524950842,233.49579937451583,315.9832391065161,10.5,34.12796074707103,2.923017283315615,4.75425050011836
gamma,medium_60c_4v_seed1,medium,60,4,30,OK,1033.9,306.9752394914289,300.53143664767293,391.5418460579923,11.766666666666667,43.94349245025118,2.348601186667414,4.203499400289729
