instance,size,n_customers,n_vehicles,seed,ACO_obj_final,ALNS_obj_final,ACO_ALNS_obj_final,delta_vs_ACO_pct,delta_vs_ALNS_pct,ACO_time_s,ALNS_time_s,ACO_ALNS_time_s,ACO_obj_initial,ALNS_obj_initial,ACO_ALNS_obj_initial
large_150c_9v_seed1,Large,150,9,1,481.1719481735167,402.20933243251864,320.7294666506418,33.34410539348758,20.258074393524232,670.0287370999868,10806.364106500005,29928.930334299803,481.1719481735167,481.1719481735167,481.1719481735167
large_150c_9v_seed2,Large,150,9,2,478.5987375890139,468.50441099292976,382.2862662624796,20.1238456690708,18.40284588734668,526.858739200019,5906.7678552,15294.322321699932,478.5987375890139,478.5987375890139,478.5987375890139
large_150c_9v_seed3,Large,150,9,3,476.6573465097121,443.6139454709452,331.13692403337285,30.529356893773212,25.354708206516275,696.7412397000007,5336.087620099999,10823.563201800454,476.6573465097121,476.6573465097121,476.6573465097121
large_180c_11v_seed1,Large,180,11,1,591.0326919243506,487.33403048713456,451.9878985905288,23.525736432802756,7.252957865732071,756.5362120000063,10344.248267500006,18514.81859209994,591.0326919243506,591.0326919243506,591.0326919243506
large_180c_11v_seed2,Large,180,11,2,585.6361569263323,455.8458286022905,492.6496940598103,15.877855519466987,-8.07375282348583,778.2865244999994,9295.209086400006,16671.520453599747,585.6361569263323,585.6361569263323,585.6361569263323
large_180c_11v_seed3,Large,180,11,3,611.8711718229623,594.7406431174277,468.7018263345055,23.398609393854755,21.192231982376335,565.5388971999928,6065.635540899995,19008.58037709957,611.8711718229623,611.8711718229623,611.8711718229623
large_200c_13v_seed1,Large,200,13,1,709.0027533353219,560.0999232570097,585.0796927703575,17.478502020196697,-4.459877331903421,611.7236985999916,19453.0091467998,18330.293731999584,709.0027533353219,709.0027533353219,709.0027533353219
large_200c_13v_seed2,Large,200,13,2,710.0403046432549,616.1356708222163,573.3553964866394,19.250302731094965,6.943320499280263,645.6980068000266,17689.850732499734,20558.539511299692,710.0403046432549,710.0403046432549,710.0403046432549
large_200c_13v_seed3,Large,200,13,3,708.9103616712953,604.8140058298678,507.0661752520038,28.472455381161687,16.16163475641471,567.178905000008,11206.68193550012,16657.153031199705,708.9103616712953,708.9103616712953,708.9103616712953
large_250c_15v_seed1,Large,250,15,1,884.2071011307361,804.1178459434527,751.1026503234675,15.05353786879259,6.59296344278788,1378.174706699996,22217.073809500085,24095.573413300328,884.2071011307361,884.2071011307361,884.2071011307361
large_250c_15v_seed2,Large,250,15,2,886.9783252467813,813.0575522592427,777.6949197041583,12.320865395692435,4.349339411069023,1002.0929599000083,18971.948906600242,24841.22391799977,886.9783252467813,886.9783252467813,886.9783252467813
large_250c_15v_seed3,Large,250,15,3,894.9188420045617,769.8756840410153,770.6600200153314,13.884926337107666,-0.10187826302022165,1192.6009222999855,18296.339964599814,24504.382870199624,894.9188420045617,894.9188420045617,894.9188420045617
large_280c_18v_seed1,Large,280,18,1,1089.2582572807971,990.45397465823,904.7950981188075,16.9347496729086,8.64844593803365,1084.7603912999912,12399.3857421,18463.87013720069,1089.2582572807971,1089.2582572807971,1089.2582572807971
large_280c_18v_seed2,Large,280,18,2,1093.893767295204,1093.893767295204,989.337450885182,9.558178274344801,9.558178274344801,1368.2280349000066,8937.860162899975,13900.27241980005,1093.893767295204,1093.893767295204,1093.893767295204
large_280c_18v_seed3,Large,280,18,3,1110.1441431190115,971.2599542083378,992.2027528885623,10.623970856530967,-2.1562506092711966,1008.8123697999981,10144.62415009999,19687.725082300138,1110.1441431190115,1110.1441431190115,1110.1441431190115
large_300c_20v_seed1,Large,300,20,1,1146.479950875245,942.1730175776138,1021.8435461719937,10.871224098432908,-8.456040144220841,994.1097592999868,17444.641728799994,20674.601492499933,1146.479950875245,1146.479950875245,1146.479950875245
large_300c_20v_seed2,Large,300,20,2,1187.2921699106917,1187.2921699106917,1052.571880959098,11.346852305252488,11.346852305252488,834.3146010999917,5295.197966899956,17309.01378049981,1187.2921699106917,1187.2921699106917,1187.2921699106917
large_300c_20v_seed3,Large,300,20,3,1176.3895685747505,1089.8713209475147,1043.9536238882558,11.257830588122845,4.213130135339176,958.2293206000177,9554.696837099997,15048.0488144001,1176.3895685747505,1176.3895685747505,1176.3895685747505
