experiment,instance_class,instance_name,instance_scale,analysis_mode,parameter_name,parameter_value,x_numeric,parameter_order,is_baseline,target_serviceable_count,ratio_seed,run_count,z_total_mean,z_total_std,solve_seconds_mean,solve_seconds_std,unserved_count_mean,unserved_count_std,sortie_count_mean,sortie_count_std,avg_customers_per_sortie_mean,avg_customers_per_sortie_std,drone_serviceable_count_mean,drone_serviceable_count_std,drone_served_customers_mean,drone_served_customers_std,drone_utilization_mean,drone_utilization_std,sortie_attempted_mean,sortie_attempted_std,sortie_selected_mean,sortie_selected_std,sortie_feasible_rate_mean,sortie_feasible_rate_std,z_fixed_mean,z_fixed_std,z_truck_mean,z_truck_std,z_drone_mean,z_drone_std,z_fail_expected_mean,z_fail_expected_std,z_unserved_penalty_mean,z_unserved_penalty_std,z_tw_penalty_mean,z_tw_penalty_std,z_fixed_ratio_mean,z_fixed_ratio_std,z_truck_ratio_mean,z_truck_ratio_std,z_drone_ratio_mean,z_drone_ratio_std,z_fail_expected_ratio_mean,z_fail_expected_ratio_std,z_unserved_penalty_ratio_mean,z_unserved_penalty_ratio_std,z_tw_penalty_ratio_mean,z_tw_penalty_ratio_std,online_success_rate_mean,online_success_rate_std,mc_mean_mean,mc_mean_std,mc_std_mean,mc_std_std,z_total_mean_std,solve_seconds_mean_std,unserved_count_mean_std,sortie_count_mean_std
5.3,deterministic,medium_60c_4v_seed2.json,medium,random_ratio,drone_serviceable_ratio,0.2,20.0,1,False,12,2043,1,319.9872838113357,0.0,293.600692700129,0.0,0.0,0.0,4.0,0.0,1.5,0.0,11.0,0.0,6.0,0.0,0.5454545454545454,0.0,1046.0,0.0,5.0,0.0,0.004780114722753346,0.0,66.0,0.0,97.68940243657086,0.0,4.043470947603279,0.0,152.25441042716162,0.0,0.0,0.0,0.0,0.0,0.2062581963066806,0.0,0.3052915143158266,0.0,0.012636348855622983,0.0,0.47581394052187,0.0,0.0,0.0,0.0,0.0,76.66666666666667,0.0,360.49348190195525,0.0,0.5531976611849772,0.0,319.9873+/-0.0000,293.6007+/-0.0000,0.0000+/-0.0000,4.0000+/-0.0000
5.3,deterministic,medium_60c_4v_seed2.json,medium,random_ratio,drone_serviceable_ratio,0.35,35.0,2,False,21,2060,1,322.4049059664011,0.0,359.140147899976,0.0,0.0,0.0,8.0,0.0,1.0,0.0,20.0,0.0,8.0,0.0,0.4,0.0,3634.0,0.0,12.0,0.0,0.003302146395156852,0.0,66.0,0.0,90.04186120281572,0.0,5.951140422915642,0.0,160.41190434066976,0.0,0.0,0.0,0.0,0.0,0.20471152509967724,0.0,0.2792819201460889,0.0,0.01845859139480908,0.0,0.4975479633594249,0.0,0.0,0.0,0.0,0.0,76.66666666666667,0.0,358.6423113804884,0.0,1.5628314759658546,0.0,322.4049+/-0.0000,359.1401+/-0.0000,0.0000+/-0.0000,8.0000+/-0.0000
5.3,deterministic,medium_60c_4v_seed2.json,medium,random_ratio,drone_serviceable_ratio,0.5,50.0,3,True,30,2077,1,329.0124683224981,0.0,444.4124531999696,0.0,0.0,0.0,8.0,0.0,1.125,0.0,27.0,0.0,9.0,0.0,0.3333333333333333,0.0,9836.0,0.0,12.0,0.0,0.0012200081333875558,0.0,88.0,0.0,97.1094316156494,0.0,7.370812013711231,0.0,136.53222469313744,0.0,0.0,0.0,0.0,0.0,0.2674670672776522,0.0,0.29515425999133477,0.0,0.0224028349177526,0.0,0.4149758378132604,0.0,0.0,0.0,0.0,0.0,76.66666666666667,0.0,384.5776088599827,0.0,2.361815202607387,0.0,329.0125+/-0.0000,444.4125+/-0.0000,0.0000+/-0.0000,8.0000+/-0.0000
5.3,deterministic,medium_60c_4v_seed2.json,medium,random_ratio,drone_serviceable_ratio,0.75,75.0,4,False,45,2094,1,312.0319431310293,0.0,1049.1781866000965,0.0,0.0,0.0,9.0,0.0,1.2222222222222223,0.0,41.0,0.0,11.0,0.0,0.2682926829268293,0.0,24262.0,0.0,18.0,0.0,0.0007419009150111285,0.0,66.0,0.0,91.02625344878508,0.0,6.308853861751163,0.0,148.69683582049305,0.0,0.0,0.0,0.0,0.0,0.21151680606073428,0.0,0.29172094541154425,0.0,0.02021861543547781,0.0,0.47654363309224357,0.0,0.0,0.0,0.0,0.0,76.66666666666667,0.0,353.725644536382,0.0,4.431509229847136,0.0,312.0319+/-0.0000,1049.1782+/-0.0000,0.0000+/-0.0000,9.0000+/-0.0000
5.3,deterministic,medium_60c_4v_seed2.json,medium,random_ratio,drone_serviceable_ratio,1.0,100.0,5,False,60,2111,1,326.4314376236389,0.0,2038.1983813999686,0.0,0.0,0.0,9.0,0.0,1.2222222222222223,0.0,56.0,0.0,11.0,0.0,0.19642857142857142,0.0,60869.0,0.0,21.0,0.0,0.0003450032036011763,0.0,66.0,0.0,104.67768082786075,0.0,6.742161951743591,0.0,149.01159484403453,0.0,0.0,0.0,0.0,0.0,0.20218640851649558,0.0,0.3206727930063817,0.0,0.020654144100903073,0.0,0.4564866543762196,0.0,0.0,0.0,0.0,0.0,76.66666666666667,0.0,369.5250305109887,0.0,0.4505034677411552,0.0,326.4314+/-0.0000,2038.1984+/-0.0000,0.0000+/-0.0000,9.0000+/-0.0000
5.3,deterministic,medium_60c_4v_seed3.json,medium,random_ratio,drone_serviceable_ratio,0.2,20.0,1,False,12,2043,1,290.2119466645114,0.0,206.75773270009086,0.0,0.0,0.0,4.0,0.0,1.0,0.0,12.0,0.0,4.0,0.0,0.3333333333333333,0.0,1411.0,0.0,9.0,0.0,0.0063784549964564135,0.0,66.0,0.0,83.21185636838767,0.0,2.401684029955542,0.0,138.5984062661682,0.0,0.0,0.0,0.0,0.0,0.22741999686283354,0.0,0.2867278805189285,0.0,0.008275620826636467,0.0,0.4775765017916016,0.0,0.0,0.0,0.0,0.0,70.0,0.0,365.250231215474,0.0,3.7402389009375265,0.0,290.2119+/-0.0000,206.7577+/-0.0000,0.0000+/-0.0000,4.0000+/-0.0000
5.3,deterministic,medium_60c_4v_seed3.json,medium,random_ratio,drone_serviceable_ratio,0.35,35.0,2,False,21,2060,1,288.7028532494936,0.0,201.92595960013568,0.0,0.0,0.0,6.0,0.0,1.0,0.0,20.0,0.0,6.0,0.0,0.3,0.0,5952.0,0.0,12.0,0.0,0.0020161290322580645,0.0,66.0,0.0,87.6609889553256,0.0,3.9836610332750184,0.0,131.058203260893,0.0,0.0,0.0,0.0,0.0,0.2286087555323313,0.0,0.30363741808803674,0.0,0.013798481686055197,0.0,0.45395534469357685,0.0,0.0,0.0,0.0,0.0,70.0,0.0,369.29982436054615,0.0,1.856651120082807,0.0,288.7029+/-0.0000,201.9260+/-0.0000,0.0000+/-0.0000,6.0000+/-0.0000
5.3,deterministic,medium_60c_4v_seed3.json,medium,random_ratio,drone_serviceable_ratio,0.5,50.0,3,True,30,2077,1,289.384462928176,0.0,330.5305765999947,0.0,0.0,0.0,13.0,0.0,1.1538461538461537,0.0,29.0,0.0,15.0,0.0,0.5172413793103449,0.0,12518.0,0.0,17.0,0.0,0.001358044416040901,0.0,88.0,0.0,69.8173455505132,0.0,9.869301888954082,0.0,121.6978154887087,0.0,0.0,0.0,0.0,0.0,0.30409372745709995,0.0,0.24126155510927194,0.0,0.03410446362285732,0.0,0.4205402538107707,0.0,0.0,0.0,0.0,0.0,70.0,0.0,377.25414659078285,0.0,1.0496130269209787,0.0,289.3845+/-0.0000,330.5306+/-0.0000,0.0000+/-0.0000,13.0000+/-0.0000
5.3,deterministic,medium_60c_4v_seed3.json,medium,random_ratio,drone_serviceable_ratio,0.75,75.0,4,False,45,2094,1,292.02823022301436,0.0,629.7399505001958,0.0,0.0,0.0,9.0,0.0,1.2222222222222223,0.0,45.0,0.0,11.0,0.0,0.24444444444444444,0.0,28098.0,0.0,23.0,0.0,0.0008185635988326571,0.0,88.0,0.0,73.74772893876873,0.0,6.597479085278217,0.0,123.68302219896744,0.0,0.0,0.0,0.0,0.0,0.3013407297397128,0.0,0.2525363006256262,0.0,0.02259192229545717,0.0,0.42353104733920394,0.0,0.0,0.0,0.0,0.0,70.0,0.0,378.0786279272831,0.0,0.90392502282031,0.0,292.0282+/-0.0000,629.7400+/-0.0000,0.0000+/-0.0000,9.0000+/-0.0000
5.3,deterministic,medium_60c_4v_seed3.json,medium,random_ratio,drone_serviceable_ratio,1.0,100.0,5,False,60,2111,1,275.25904424008144,0.0,1393.4853217001073,0.0,0.0,0.0,10.0,0.0,1.2,0.0,59.0,0.0,12.0,0.0,0.2033898305084746,0.0,73722.0,0.0,25.0,0.0,0.00033911179837768917,0.0,66.0,0.0,74.07359506789409,0.0,7.272747871692402,0.0,127.91270130049499,0.0,0.0,0.0,0.0,0.0,0.23977413778431447,0.0,0.2691050362119508,0.0,0.026421467428147785,0.0,0.4646993585755871,0.0,0.0,0.0,0.0,0.0,70.0,0.0,359.4776777075088,0.0,2.6296572888496947,0.0,275.2590+/-0.0000,1393.4853+/-0.0000,0.0000+/-0.0000,10.0000+/-0.0000
