experiment,instance_class,instance_name,instance_scale,analysis_mode,parameter_name,parameter_value,x_numeric,parameter_order,is_baseline,run_count,z_total_mean,z_total_std,solve_seconds_mean,solve_seconds_std,unserved_count_mean,unserved_count_std,sortie_count_mean,sortie_count_std,avg_customers_per_sortie_mean,avg_customers_per_sortie_std,drone_serviceable_count_mean,drone_serviceable_count_std,drone_served_customers_mean,drone_served_customers_std,drone_utilization_mean,drone_utilization_std,sortie_attempted_mean,sortie_attempted_std,sortie_selected_mean,sortie_selected_std,sortie_feasible_rate_mean,sortie_feasible_rate_std,z_fixed_mean,z_fixed_std,z_truck_mean,z_truck_std,z_drone_mean,z_drone_std,z_fail_expected_mean,z_fail_expected_std,z_unserved_penalty_mean,z_unserved_penalty_std,z_tw_penalty_mean,z_tw_penalty_std,z_fixed_ratio_mean,z_fixed_ratio_std,z_truck_ratio_mean,z_truck_ratio_std,z_drone_ratio_mean,z_drone_ratio_std,z_fail_expected_ratio_mean,z_fail_expected_ratio_std,z_unserved_penalty_ratio_mean,z_unserved_penalty_ratio_std,z_tw_penalty_ratio_mean,z_tw_penalty_ratio_std,online_success_rate_mean,online_success_rate_std,mc_mean_mean,mc_mean_std,mc_std_mean,mc_std_std,z_total_mean_std,solve_seconds_mean_std,unserved_count_mean_std,sortie_count_mean_std
5.1,deterministic,medium_60c_4v_seed2.json,medium,penalty_multiplier,failure_penalty_multiplier,1.0,1.0,1,True,1,326.4314376236389,0.0,2233.7777569999453,0.0,0.0,0.0,9.0,0.0,1.2222222222222223,0.0,56.0,0.0,11.0,0.0,0.19642857142857142,0.0,60869.0,0.0,21.0,0.0,0.0003450032036011763,0.0,66.0,0.0,104.67768082786075,0.0,6.742161951743591,0.0,149.01159484403453,0.0,0.0,0.0,0.0,0.0,0.20218640851649558,0.0,0.3206727930063817,0.0,0.020654144100903073,0.0,0.4564866543762196,0.0,0.0,0.0,0.0,0.0,76.66666666666667,0.0,369.5250305109887,0.0,0.4505034677411552,0.0,326.4314+/-0.0000,2233.7778+/-0.0000,0.0000+/-0.0000,9.0000+/-0.0000
5.1,deterministic,medium_60c_4v_seed2.json,medium,penalty_multiplier,failure_penalty_multiplier,2.0,2.0,2,False,1,472.95389494502746,0.0,1966.6786573999561,0.0,0.0,0.0,8.0,0.0,1.125,0.0,56.0,0.0,9.0,0.0,0.16071428571428573,0.0,60869.0,0.0,23.0,0.0,0.0003778606515631931,0.0,88.0,0.0,128.80564867368295,0.0,7.12341621268507,0.0,249.02483005865943,0.0,0.0,0.0,0.0,0.0,0.1860646480355732,0.0,0.2723429282438922,0.0,0.015061544663910721,0.0,0.5265308790566239,0.0,0.0,0.0,0.0,0.0,76.66666666666667,0.0,607.1769003319708,0.0,2.418404165200616,0.0,472.9539+/-0.0000,1966.6787+/-0.0000,0.0000+/-0.0000,8.0000+/-0.0000
5.1,deterministic,medium_60c_4v_seed2.json,medium,penalty_multiplier,failure_penalty_multiplier,3.0,3.0,3,False,1,591.8684135957112,0.0,2335.135121299885,0.0,0.0,0.0,9.0,0.0,1.5555555555555556,0.0,56.0,0.0,14.0,0.0,0.25,0.0,60869.0,0.0,23.0,0.0,0.0003778606515631931,0.0,88.0,0.0,120.41948269987715,0.0,7.9482193235617284,0.0,375.50071157227234,0.0,0.0,0.0,0.0,0.0,0.1486816967734155,0.0,0.20345651150448507,0.0,0.0134290310835728,0.0,0.6344327606385266,0.0,0.0,0.0,0.0,0.0,76.66666666666667,0.0,797.0602975781613,0.0,0.0,0.0,591.8684+/-0.0000,2335.1351+/-0.0000,0.0000+/-0.0000,9.0000+/-0.0000
5.1,deterministic,medium_60c_4v_seed2.json,medium,penalty_multiplier,failure_penalty_multiplier,5.0,5.0,4,False,1,818.6920108066724,0.0,2902.73445670004,0.0,0.0,0.0,8.0,0.0,1.125,0.0,56.0,0.0,9.0,0.0,0.16071428571428573,0.0,60869.0,0.0,23.0,0.0,0.0003778606515631931,0.0,88.0,0.0,184.9374349876429,0.0,6.586319903103537,0.0,539.1682559159261,0.0,0.0,0.0,0.0,0.0,0.10748852906637255,0.0,0.2258937824560186,0.0,0.008044929981195144,0.0,0.6585727584964138,0.0,0.0,0.0,0.0,0.0,76.66666666666667,0.0,1230.864050796534,0.0,1.983270721616814,0.0,818.6920+/-0.0000,2902.7345+/-0.0000,0.0000+/-0.0000,8.0000+/-0.0000
5.1,deterministic,medium_60c_4v_seed2.json,medium,penalty_multiplier,failure_penalty_multiplier,10.0,10.0,5,False,1,1450.341060863335,0.0,2731.195602900116,0.0,0.0,0.0,9.0,0.0,1.0,0.0,56.0,0.0,9.0,0.0,0.16071428571428573,0.0,60869.0,0.0,23.0,0.0,0.0003778606515631931,0.0,88.0,0.0,177.26725901187808,0.0,6.788070371335105,0.0,1178.285731480122,0.0,0.0,0.0,0.0,0.0,0.060675383449198365,0.0,0.12222453310834167,0.0,0.00468032696205568,0.0,0.8124197564804043,0.0,0.0,0.0,0.0,0.0,76.66666666666667,0.0,2202.509801097934,0.0,4.050197077318701,0.0,1450.3411+/-0.0000,2731.1956+/-0.0000,0.0000+/-0.0000,9.0000+/-0.0000
5.1,deterministic,medium_60c_4v_seed3.json,medium,penalty_multiplier,failure_penalty_multiplier,1.0,1.0,1,True,1,275.25904424008144,0.0,1386.9863084000535,0.0,0.0,0.0,10.0,0.0,1.2,0.0,59.0,0.0,12.0,0.0,0.2033898305084746,0.0,73722.0,0.0,25.0,0.0,0.00033911179837768917,0.0,66.0,0.0,74.07359506789409,0.0,7.272747871692402,0.0,127.91270130049499,0.0,0.0,0.0,0.0,0.0,0.23977413778431447,0.0,0.2691050362119508,0.0,0.026421467428147785,0.0,0.4646993585755871,0.0,0.0,0.0,0.0,0.0,70.0,0.0,359.4776777075088,0.0,2.6296572888496947,0.0,275.2590+/-0.0000,1386.9863+/-0.0000,0.0000+/-0.0000,10.0000+/-0.0000
5.1,deterministic,medium_60c_4v_seed3.json,medium,penalty_multiplier,failure_penalty_multiplier,2.0,2.0,2,False,1,403.91953087044635,0.0,1484.0682382998057,0.0,0.0,0.0,6.0,0.0,1.6666666666666667,0.0,59.0,0.0,10.0,0.0,0.1694915254237288,0.0,73722.0,0.0,23.0,0.0,0.00031198285450747404,0.0,66.0,0.0,82.47682178887688,0.0,5.487761567235374,0.0,249.9549475143341,0.0,0.0,0.0,0.0,0.0,0.16339888258874247,0.0,0.2041912199965656,0.0,0.013586274363631912,0.0,0.61882362305106,0.0,0.0,0.0,0.0,0.0,70.0,0.0,577.2754301414764,0.0,0.9907029167272959,0.0,403.9195+/-0.0000,1484.0682+/-0.0000,0.0000+/-0.0000,6.0000+/-0.0000
5.1,deterministic,medium_60c_4v_seed3.json,medium,penalty_multiplier,failure_penalty_multiplier,3.0,3.0,3,False,1,526.5275733043289,0.0,1142.2415142999962,0.0,0.0,0.0,11.0,0.0,1.2727272727272727,0.0,59.0,0.0,14.0,0.0,0.23728813559322035,0.0,73722.0,0.0,24.0,0.0,0.0003255473264425816,0.0,88.0,0.0,81.16425463616204,0.0,7.529007464786226,0.0,349.83431120338065,0.0,0.0,0.0,0.0,0.0,0.1671327475743358,0.0,0.1541500554791453,0.0,0.014299360273834162,0.0,0.6644178366726847,0.0,0.0,0.0,0.0,0.0,70.0,0.0,811.7147599056254,0.0,3.0263946129273442,0.0,526.5276+/-0.0000,1142.2415+/-0.0000,0.0000+/-0.0000,11.0000+/-0.0000
5.1,deterministic,medium_60c_4v_seed3.json,medium,penalty_multiplier,failure_penalty_multiplier,5.0,5.0,4,False,1,753.4440246700112,0.0,1278.533266399987,0.0,0.0,0.0,11.0,0.0,1.2727272727272727,0.0,59.0,0.0,14.0,0.0,0.23728813559322035,0.0,73722.0,0.0,24.0,0.0,0.0003255473264425816,0.0,88.0,0.0,104.96379767391826,0.0,8.331640468050981,0.0,552.148586528042,0.0,0.0,0.0,0.0,0.0,0.11679699767815094,0.0,0.139312004922847,0.0,0.011058074913660669,0.0,0.7328329224853414,0.0,0.0,0.0,0.0,0.0,70.0,0.0,1260.5237698476426,0.0,3.2246636143779543,0.0,753.4440+/-0.0000,1278.5333+/-0.0000,0.0000+/-0.0000,11.0000+/-0.0000
5.1,deterministic,medium_60c_4v_seed3.json,medium,penalty_multiplier,failure_penalty_multiplier,10.0,10.0,5,False,1,1227.3311569396428,0.0,1569.8624297999777,0.0,0.0,0.0,9.0,0.0,1.0,0.0,59.0,0.0,9.0,0.0,0.15254237288135594,0.0,73722.0,0.0,24.0,0.0,0.0003255473264425816,0.0,88.0,0.0,130.2435901693256,0.0,5.802930660636015,0.0,1003.2846361096813,0.0,0.0,0.0,0.0,0.0,0.07170029009890737,0.0,0.10611935453027098,0.0,0.004728088770357347,0.0,0.8174522666004643,0.0,0.0,0.0,0.0,0.0,70.0,0.0,2347.0718049188,0.0,5.051225625374719,0.0,1227.3312+/-0.0000,1569.8624+/-0.0000,0.0000+/-0.0000,9.0000+/-0.0000
