experiment,instance_class,instance_name,instance_scale,analysis_mode,parameter_name,parameter_value,x_numeric,parameter_order,is_baseline,repeat_index,seed,z_total,solve_seconds,unserved_count,sortie_count,avg_customers_per_sortie,drone_serviceable_count,drone_served_customers,drone_utilization,sortie_attempted,sortie_selected,sortie_feasible_rate,z_fixed,z_truck,z_drone,z_fail_expected,z_unserved_penalty,z_tw_penalty,z_fixed_ratio,z_truck_ratio,z_drone_ratio,z_fail_expected_ratio,z_unserved_penalty_ratio,z_tw_penalty_ratio,online_success_rate,mc_mean,mc_std
5.1,deterministic,medium_60c_4v_seed2.json,medium,penalty_multiplier,failure_penalty_multiplier,1.0,1.0,1,True,1,2026,326.4314376236389,2233.7777569999453,0.0,9.0,1.2222222222222223,56.0,11.0,0.19642857142857142,60869.0,21.0,0.0003450032036011763,66.0,104.67768082786075,6.742161951743591,149.01159484403453,0.0,0.0,0.20218640851649558,0.3206727930063817,0.020654144100903073,0.4564866543762196,0.0,0.0,76.66666666666667,369.5250305109887,0.4505034677411552
5.1,deterministic,medium_60c_4v_seed2.json,medium,penalty_multiplier,failure_penalty_multiplier,2.0,2.0,2,False,1,2026,472.95389494502746,1966.6786573999561,0.0,8.0,1.125,56.0,9.0,0.16071428571428573,60869.0,23.0,0.0003778606515631931,88.0,128.80564867368295,7.12341621268507,249.02483005865943,0.0,0.0,0.1860646480355732,0.2723429282438922,0.015061544663910721,0.5265308790566239,0.0,0.0,76.66666666666667,607.1769003319708,2.418404165200616
5.1,deterministic,medium_60c_4v_seed2.json,medium,penalty_multiplier,failure_penalty_multiplier,3.0,3.0,3,False,1,2026,591.8684135957112,2335.135121299885,0.0,9.0,1.5555555555555556,56.0,14.0,0.25,60869.0,23.0,0.0003778606515631931,88.0,120.41948269987715,7.9482193235617284,375.50071157227234,0.0,0.0,0.1486816967734155,0.20345651150448507,0.0134290310835728,0.6344327606385266,0.0,0.0,76.66666666666667,797.0602975781613,0.0
5.1,deterministic,medium_60c_4v_seed2.json,medium,penalty_multiplier,failure_penalty_multiplier,5.0,5.0,4,False,1,2026,818.6920108066724,2902.73445670004,0.0,8.0,1.125,56.0,9.0,0.16071428571428573,60869.0,23.0,0.0003778606515631931,88.0,184.9374349876429,6.586319903103537,539.1682559159261,0.0,0.0,0.10748852906637255,0.2258937824560186,0.008044929981195144,0.6585727584964138,0.0,0.0,76.66666666666667,1230.864050796534,1.983270721616814
5.1,deterministic,medium_60c_4v_seed2.json,medium,penalty_multiplier,failure_penalty_multiplier,10.0,10.0,5,False,1,2026,1450.341060863335,2731.195602900116,0.0,9.0,1.0,56.0,9.0,0.16071428571428573,60869.0,23.0,0.0003778606515631931,88.0,177.26725901187808,6.788070371335105,1178.285731480122,0.0,0.0,0.060675383449198365,0.12222453310834167,0.00468032696205568,0.8124197564804043,0.0,0.0,76.66666666666667,2202.509801097934,4.050197077318701
5.1,deterministic,medium_60c_4v_seed3.json,medium,penalty_multiplier,failure_penalty_multiplier,1.0,1.0,1,True,1,2026,275.25904424008144,1386.9863084000535,0.0,10.0,1.2,59.0,12.0,0.2033898305084746,73722.0,25.0,0.00033911179837768917,66.0,74.07359506789409,7.272747871692402,127.91270130049499,0.0,0.0,0.23977413778431447,0.2691050362119508,0.026421467428147785,0.4646993585755871,0.0,0.0,70.0,359.4776777075088,2.6296572888496947
5.1,deterministic,medium_60c_4v_seed3.json,medium,penalty_multiplier,failure_penalty_multiplier,2.0,2.0,2,False,1,2026,403.91953087044635,1484.0682382998057,0.0,6.0,1.6666666666666667,59.0,10.0,0.1694915254237288,73722.0,23.0,0.00031198285450747404,66.0,82.47682178887688,5.487761567235374,249.9549475143341,0.0,0.0,0.16339888258874247,0.2041912199965656,0.013586274363631912,0.61882362305106,0.0,0.0,70.0,577.2754301414764,0.9907029167272959
5.1,deterministic,medium_60c_4v_seed3.json,medium,penalty_multiplier,failure_penalty_multiplier,3.0,3.0,3,False,1,2026,526.5275733043289,1142.2415142999962,0.0,11.0,1.2727272727272727,59.0,14.0,0.23728813559322035,73722.0,24.0,0.0003255473264425816,88.0,81.16425463616204,7.529007464786226,349.83431120338065,0.0,0.0,0.1671327475743358,0.1541500554791453,0.014299360273834162,0.6644178366726847,0.0,0.0,70.0,811.7147599056254,3.0263946129273442
5.1,deterministic,medium_60c_4v_seed3.json,medium,penalty_multiplier,failure_penalty_multiplier,5.0,5.0,4,False,1,2026,753.4440246700112,1278.533266399987,0.0,11.0,1.2727272727272727,59.0,14.0,0.23728813559322035,73722.0,24.0,0.0003255473264425816,88.0,104.96379767391826,8.331640468050981,552.148586528042,0.0,0.0,0.11679699767815094,0.139312004922847,0.011058074913660669,0.7328329224853414,0.0,0.0,70.0,1260.5237698476426,3.2246636143779543
5.1,deterministic,medium_60c_4v_seed3.json,medium,penalty_multiplier,failure_penalty_multiplier,10.0,10.0,5,False,1,2026,1227.3311569396428,1569.8624297999777,0.0,9.0,1.0,59.0,9.0,0.15254237288135594,73722.0,24.0,0.0003255473264425816,88.0,130.2435901693256,5.802930660636015,1003.2846361096813,0.0,0.0,0.07170029009890737,0.10611935453027098,0.004728088770357347,0.8174522666004643,0.0,0.0,70.0,2347.0718049188,5.051225625374719
5.1,deterministic,small_15c_1v_seed1.json,small,penalty_multiplier,failure_penalty_multiplier,1.0,1.0,1,True,1,2026,56.26215705960893,134.58392030000687,0.0,5.0,1.0,15.0,5.0,0.3333333333333333,9646.0,6.0,0.0006220194899440182,22.0,11.495868733880044,3.0638732061284526,19.70241511960043,0.0,0.0,0.3910266002899839,0.2043268394722289,0.05445708743236282,0.3501894728054243,0.0,0.0,73.33333333333333,59.75492747024314,0.02848737228010905
5.1,deterministic,small_15c_1v_seed1.json,small,penalty_multiplier,failure_penalty_multiplier,2.0,2.0,2,False,1,2026,75.84170024082725,136.22111520008184,0.0,2.0,2.0,15.0,4.0,0.26666666666666666,9646.0,6.0,0.0006220194899440182,22.0,14.668599031675452,2.1764883916916027,36.99661281746019,0.0,0.0,0.29007788499125603,0.1934107355860546,0.028697779516814566,0.48781359990587475,0.0,0.0,73.33333333333333,84.70227571875321,0.0509234972930265
5.1,deterministic,small_15c_1v_seed1.json,small,penalty_multiplier,failure_penalty_multiplier,3.0,3.0,3,False,1,2026,88.74407888491359,129.48606620007195,0.0,3.0,1.6666666666666667,15.0,5.0,0.3333333333333333,9646.0,6.0,0.0006220194899440182,22.0,17.69689878247434,3.06047533969119,45.98670476274807,0.0,0.0,0.24790386329357664,0.19941498074958097,0.03448653001018942,0.518194625946653,0.0,0.0,73.33333333333333,111.23532206567866,0.985064475974306
5.1,deterministic,small_15c_1v_seed1.json,small,penalty_multiplier,failure_penalty_multiplier,5.0,5.0,4,False,1,2026,124.14201431085644,156.40122750005685,0.0,3.0,1.3333333333333333,15.0,4.0,0.26666666666666666,9646.0,6.0,0.0006220194899440182,22.0,19.555399516913056,2.521495592855602,80.06511920108778,0.0,0.0,0.17721639303283046,0.15752442575924033,0.020311379727911284,0.644947801480018,0.0,0.0,73.33333333333333,159.57619533455252,0.7971319487156272
