experiment,instance_class,instance_name,instance_scale,analysis_mode,parameter_name,parameter_value,x_numeric,parameter_order,is_baseline,target_serviceable_count,ratio_seed,repeat_index,seed,z_total,solve_seconds,unserved_count,sortie_count,avg_customers_per_sortie,drone_serviceable_count,drone_served_customers,drone_utilization,sortie_attempted,sortie_selected,sortie_feasible_rate,z_fixed,z_truck,z_drone,z_fail_expected,z_unserved_penalty,z_tw_penalty,z_fixed_ratio,z_truck_ratio,z_drone_ratio,z_fail_expected_ratio,z_unserved_penalty_ratio,z_tw_penalty_ratio,online_success_rate,mc_mean,mc_std
5.3,deterministic,medium_60c_4v_seed2.json,medium,random_ratio,drone_serviceable_ratio,0.2,20.0,1,False,12,2043,1,2026,319.9872838113357,293.600692700129,0.0,4.0,1.5,11.0,6.0,0.5454545454545454,1046.0,5.0,0.004780114722753346,66.0,97.68940243657086,4.043470947603279,152.25441042716162,0.0,0.0,0.2062581963066806,0.3052915143158266,0.012636348855622983,0.47581394052187,0.0,0.0,76.66666666666667,360.49348190195525,0.5531976611849772
5.3,deterministic,medium_60c_4v_seed2.json,medium,random_ratio,drone_serviceable_ratio,0.35,35.0,2,False,21,2060,1,2026,322.4049059664011,359.140147899976,0.0,8.0,1.0,20.0,8.0,0.4,3634.0,12.0,0.003302146395156852,66.0,90.04186120281572,5.951140422915642,160.41190434066976,0.0,0.0,0.20471152509967724,0.2792819201460889,0.01845859139480908,0.4975479633594249,0.0,0.0,76.66666666666667,358.6423113804884,1.5628314759658546
5.3,deterministic,medium_60c_4v_seed2.json,medium,random_ratio,drone_serviceable_ratio,0.5,50.0,3,True,30,2077,1,2026,329.0124683224981,444.4124531999696,0.0,8.0,1.125,27.0,9.0,0.3333333333333333,9836.0,12.0,0.0012200081333875558,88.0,97.1094316156494,7.370812013711231,136.53222469313744,0.0,0.0,0.2674670672776522,0.29515425999133477,0.0224028349177526,0.4149758378132604,0.0,0.0,76.66666666666667,384.5776088599827,2.361815202607387
5.3,deterministic,medium_60c_4v_seed2.json,medium,random_ratio,drone_serviceable_ratio,0.75,75.0,4,False,45,2094,1,2026,312.0319431310293,1049.1781866000965,0.0,9.0,1.2222222222222223,41.0,11.0,0.2682926829268293,24262.0,18.0,0.0007419009150111285,66.0,91.02625344878508,6.308853861751163,148.69683582049305,0.0,0.0,0.21151680606073428,0.29172094541154425,0.02021861543547781,0.47654363309224357,0.0,0.0,76.66666666666667,353.725644536382,4.431509229847136
5.3,deterministic,medium_60c_4v_seed2.json,medium,random_ratio,drone_serviceable_ratio,1.0,100.0,5,False,60,2111,1,2026,326.4314376236389,2038.1983813999686,0.0,9.0,1.2222222222222223,56.0,11.0,0.19642857142857142,60869.0,21.0,0.0003450032036011763,66.0,104.67768082786075,6.742161951743591,149.01159484403453,0.0,0.0,0.20218640851649558,0.3206727930063817,0.020654144100903073,0.4564866543762196,0.0,0.0,76.66666666666667,369.5250305109887,0.4505034677411552
5.3,deterministic,medium_60c_4v_seed3.json,medium,random_ratio,drone_serviceable_ratio,0.2,20.0,1,False,12,2043,1,2026,290.2119466645114,206.75773270009086,0.0,4.0,1.0,12.0,4.0,0.3333333333333333,1411.0,9.0,0.0063784549964564135,66.0,83.21185636838767,2.401684029955542,138.5984062661682,0.0,0.0,0.22741999686283354,0.2867278805189285,0.008275620826636467,0.4775765017916016,0.0,0.0,70.0,365.250231215474,3.7402389009375265
5.3,deterministic,medium_60c_4v_seed3.json,medium,random_ratio,drone_serviceable_ratio,0.35,35.0,2,False,21,2060,1,2026,288.7028532494936,201.92595960013568,0.0,6.0,1.0,20.0,6.0,0.3,5952.0,12.0,0.0020161290322580645,66.0,87.6609889553256,3.9836610332750184,131.058203260893,0.0,0.0,0.2286087555323313,0.30363741808803674,0.013798481686055197,0.45395534469357685,0.0,0.0,70.0,369.29982436054615,1.856651120082807
5.3,deterministic,medium_60c_4v_seed3.json,medium,random_ratio,drone_serviceable_ratio,0.5,50.0,3,True,30,2077,1,2026,289.384462928176,330.5305765999947,0.0,13.0,1.1538461538461537,29.0,15.0,0.5172413793103449,12518.0,17.0,0.001358044416040901,88.0,69.8173455505132,9.869301888954082,121.6978154887087,0.0,0.0,0.30409372745709995,0.24126155510927194,0.03410446362285732,0.4205402538107707,0.0,0.0,70.0,377.25414659078285,1.0496130269209787
5.3,deterministic,medium_60c_4v_seed3.json,medium,random_ratio,drone_serviceable_ratio,0.75,75.0,4,False,45,2094,1,2026,292.02823022301436,629.7399505001958,0.0,9.0,1.2222222222222223,45.0,11.0,0.24444444444444444,28098.0,23.0,0.0008185635988326571,88.0,73.74772893876873,6.597479085278217,123.68302219896744,0.0,0.0,0.3013407297397128,0.2525363006256262,0.02259192229545717,0.42353104733920394,0.0,0.0,70.0,378.0786279272831,0.90392502282031
5.3,deterministic,medium_60c_4v_seed3.json,medium,random_ratio,drone_serviceable_ratio,1.0,100.0,5,False,60,2111,1,2026,275.25904424008144,1393.4853217001073,0.0,10.0,1.2,59.0,12.0,0.2033898305084746,73722.0,25.0,0.00033911179837768917,66.0,74.07359506789409,7.272747871692402,127.91270130049499,0.0,0.0,0.23977413778431447,0.2691050362119508,0.026421467428147785,0.4646993585755871,0.0,0.0,70.0,359.4776777075088,2.6296572888496947
