experiment,instance_class,instance_name,instance_scale,analysis_mode,parameter_name,parameter_value,x_numeric,parameter_order,is_baseline,drone_capacity_factor,drone_speed_factor,drone_battery_factor,repeat_index,seed,z_total,solve_seconds,unserved_count,sortie_count,avg_customers_per_sortie,drone_serviceable_count,drone_served_customers,drone_utilization,sortie_attempted,sortie_selected,sortie_feasible_rate,z_fixed,z_truck,z_drone,z_fail_expected,z_unserved_penalty,z_tw_penalty,z_fixed_ratio,z_truck_ratio,z_drone_ratio,z_fail_expected_ratio,z_unserved_penalty_ratio,z_tw_penalty_ratio,online_success_rate,mc_mean,mc_std
5.2,deterministic,large_150c_9v_seed2.json,large,speed_only,drone_speed_factor,1.0,1.0,4,True,1.0,1.0,1.0,1,2026,1222.971971239856,1664.1959191001952,0.0,22.0,1.0909090909090908,139.0,24.0,0.17266187050359713,313104.0,53.0,0.00016927282947519034,198.0,344.8981830657149,15.766535937868014,664.3072522362733,0.0,0.0,0.1619006850985035,0.2820164248867087,0.012891984696823271,0.5431909053179647,0.0,0.0,60.0,1883.0631376496058,3.6458151550015376
5.2,deterministic,large_150c_9v_seed2.json,large,speed_only,drone_speed_factor,1.15,1.15,5,False,1.0,1.15,1.0,1,2026,1262.8088074150382,1701.880391499959,0.0,32.0,1.15625,139.0,37.0,0.26618705035971224,313104.0,58.0,0.0001852419643313404,198.0,317.9433214502925,21.89711695994737,724.9683690047984,0.0,0.0,0.15679333152997624,0.25177471014089653,0.017340009692180268,0.574091948636947,0.0,0.0,60.0,1877.844767826653,1.7361495954924542
5.2,deterministic,large_150c_9v_seed2.json,large,speed_only,drone_speed_factor,1.3,1.3,6,False,1.0,1.3,1.0,1,2026,1262.9019351444392,1569.9215726000257,0.0,31.0,1.1612903225806452,139.0,36.0,0.2589928057553957,313104.0,61.0,0.0001948234452450304,198.0,328.8251150174138,25.072138637798524,711.004681489227,0.0,0.0,0.15678176942325658,0.2603726432486666,0.019852799287167933,0.5629927880409089,0.0,0.0,60.0,1880.8874970102206,1.0575896019688689
5.2,deterministic,large_150c_9v_seed2.json,large,speed_only,drone_speed_factor,1.5,1.5,7,False,1.0,1.5,1.0,1,2026,1268.8803105346751,1548.660411800025,0.0,20.0,1.0,139.0,20.0,0.14388489208633093,313104.0,56.0,0.00017885431038888036,198.0,359.28488364361186,17.570165108042215,694.0252617830208,0.0,0.0,0.1560430864567263,0.28315112202522713,0.013846983803096903,0.5469588077149495,0.0,0.0,60.0,1907.4781487553566,6.839276569967512
5.2,deterministic,large_150c_9v_seed3.json,large,speed_only,drone_speed_factor,0.6,0.6,1,False,1.0,0.6,1.0,1,2026,1190.917778701541,2652.98852350004,0.0,20.0,1.45,136.0,29.0,0.21323529411764705,160158.0,64.0,0.0003996053896776933,176.0,349.1862320820293,13.721834879915376,652.0097117395965,0.0,0.0,0.14778518143535735,0.29320767422142896,0.0115220673713313,0.5474850769718824,0.0,0.0,74.0,1298.5999461514218,5.628092306369022
5.2,deterministic,large_150c_9v_seed3.json,large,speed_only,drone_speed_factor,0.75,0.75,2,False,1.0,0.75,1.0,1,2026,1207.1145464268802,2627.9893682000693,0.0,26.0,1.4230769230769231,136.0,37.0,0.27205882352941174,160158.0,58.0,0.0003621423843954095,176.0,296.3322933567022,19.91713216650175,714.8651209036763,0.0,0.0,0.14580223601891706,0.24548813054557309,0.01649978639181962,0.5922098470436903,0.0,0.0,74.0,1262.4154795939103,3.8070217724456437
5.2,deterministic,large_150c_9v_seed3.json,large,speed_only,drone_speed_factor,0.85,0.85,3,False,1.0,0.85,1.0,1,2026,1207.0173194660151,2515.834409999894,0.0,27.0,1.4814814814814814,136.0,40.0,0.29411764705882354,160158.0,57.0,0.00035589855018169556,176.0,317.17183300165914,21.506919474747516,692.3385669896086,0.0,0.0,0.1458139805962871,0.2627732244488224,0.017818236016913316,0.5735945589379773,0.0,0.0,74.0,1301.001719936138,9.08921495298711
5.2,deterministic,large_150c_9v_seed3.json,large,speed_only,drone_speed_factor,1.0,1.0,4,True,1.0,1.0,1.0,1,2026,1203.5716618123488,1993.8685713000596,0.0,26.0,1.3076923076923077,136.0,34.0,0.25,160158.0,57.0,0.00035589855018169556,176.0,299.03382586330156,22.228745488371143,706.309090460676,0.0,0.0,0.14623142566764796,0.24845535612978276,0.018468983770271646,0.5868442344322976,0.0,0.0,74.0,1268.4147664640125,3.859835510956121
5.2,deterministic,large_150c_9v_seed3.json,large,speed_only,drone_speed_factor,1.15,1.15,5,False,1.0,1.15,1.0,1,2026,1205.5485941958582,1764.621502300026,0.0,29.0,1.1724137931034482,136.0,34.0,0.25,160158.0,59.0,0.0003683862186091235,198.0,318.76626083608346,23.66439687948208,665.1179364802928,0.0,0.0,0.16424057972716788,0.2644159367534341,0.019629566981716765,0.5517139165376813,0.0,0.0,74.0,1317.513521321216,3.962221765831906
5.2,deterministic,large_150c_9v_seed3.json,large,speed_only,drone_speed_factor,1.3,1.3,6,False,1.0,1.3,1.0,1,2026,1173.5883082296891,1552.9198764001485,0.0,28.0,1.1785714285714286,136.0,33.0,0.2426470588235294,160158.0,56.0,0.0003496547159679816,176.0,278.1434529429906,23.7318431846833,695.7130121020153,0.0,0.0,0.1499674108593404,0.23700257662123345,0.020221608393902486,0.5928084041255238,0.0,0.0,74.0,1254.1181528678137,6.038507596737518
