instance,size,n_customers,n_vehicles,seed,E_avg_cost,D_avg_cost,C_avg_cost,delta_cost_D_vs_E_pct,delta_cost_C_vs_E_pct,delta_cost_C_vs_D_pct,E_worst_cost,D_worst_cost,C_worst_cost,E_avg_fail,D_avg_fail,C_avg_fail,delta_fail_D_vs_E_pct,delta_fail_C_vs_E_pct,E_cost_std,D_cost_std,C_cost_std,E_online_time,D_online_time,C_online_time,online_time_overhead_pct,C_win_rate_vs_E,D_win_rate_vs_E,paired_cost_C_vs_E,trial_count
medium_40c_3v_seed1,Medium,40,3,1,204.95337977654785,204.95337977654785,205.73949783365407,0.0,-0.3835594504288214,-0.3835594504288214,328.81204814830323,328.81204814830323,334.03610576320534,9.11,9.11,9.37,0.0,-2.854006272886247,40.541010661157515,40.541010661157515,41.80297759973046,0.001254563070833683,0.0018510610843077303,5.404823935092427,291727.5742029676,50.0,0.0,0.7861180571063818,100
medium_40c_3v_seed2,Medium,40,3,2,201.4977667738581,201.4977667738581,201.5511632032542,0.0,-0.026499762380004375,-0.026499762380004375,342.6252903103544,342.6252903103544,313.08748117751367,8.55,8.55,8.59,0.0,-0.467836202592247,45.75394742119638,45.75394742119638,37.11561547157522,0.002848454969935119,0.005210804915986955,28.08568513291422,538785.9826038914,53.0,0.0,0.05339642939610968,100
medium_40c_3v_seed3,Medium,40,3,3,175.57514941839955,175.57514941839955,172.68038308220207,0.0,1.6487335171215967,1.6487335171215967,246.035247129492,246.035247129492,244.9770654655701,9.28,9.28,8.83,0.0,4.849137408498117,24.759344499423328,24.759344499423328,24.50766151506594,0.0014157379744574427,0.0022399329068139196,3.353840959025547,149562.7564719875,55.00000000000001,0.0,-2.8947663361974527,100
medium_50c_3v_seed1,Medium,50,3,1,277.77516464177194,279.89088461075096,280.1526094377384,-0.761666354048435,-0.8558881781359088,-0.09350959297993788,402.6097753894154,413.715918250478,379.2156569747397,12.29,12.18,12.08,0.895036542307844,1.708706126224067,41.2549087828733,42.01332280864572,40.5207415654111,0.005977163980714977,0.009497890928760171,12.157405852070077,127887.64553933988,36.0,4.0,2.377444795966676,100
medium_50c_3v_seed2,Medium,50,3,2,313.843937883955,313.843937883955,309.87477707313803,0.0,1.2646925212506643,1.2646925212506643,413.91583401676206,413.91583401676206,412.52965157651334,12.4,12.4,12.01,0.0,3.145161036680566,42.93680821466829,42.93680821466829,44.38589565558182,0.004725043070502579,0.007543981983326375,13.849937906009146,183464.90362224946,72.0,0.0,-3.969160810816893,100
medium_50c_3v_seed3,Medium,50,3,3,269.48007655499384,269.48007655499384,265.3163192060689,0.0,1.5451076762905818,1.5451076762905818,366.2682033670052,366.2682033670052,347.77731151459,11.76,11.76,11.32,0.0,3.7414962804850065,38.83697120194805,38.83697120194805,36.80041524054804,0.005868024001829326,0.008478533942252398,5.466563136065378,64367.74284169336,66.0,0.0,-4.163757348925078,100
medium_60c_4v_seed1,Medium,60,4,1,345.8263905375441,349.9841131956236,352.8485703424044,-1.2022571937372435,-2.0305505875202816,-0.8184534779667898,480.6675130581007,480.6675130581007,468.9027144658705,10.83,10.82,11.04,0.09233609489047866,-1.9390579927000846,48.06430497254206,49.499554501631664,51.0040810590297,0.00656880802474916,0.009587219026871025,7.808126400047914,81334.5957071444,37.0,0.0,7.02217980486014,100
medium_60c_4v_seed2,Medium,60,4,2,372.12315521509316,376.5628490473206,358.08390414377556,-1.1930711029420367,3.772743210027523,4.907267126933937,514.8854670887889,520.1993114812151,495.8503289985719,15.44,15.4,14.51,0.259067340733975,6.023315672065046,59.42802641826671,62.48868079518915,55.65185867310412,0.007851055986247957,0.012043590960092842,19.752937739049084,163898.41891265707,65.0,4.0,-14.03925107131768,100
medium_60c_4v_seed3,Medium,60,4,3,291.0585487927225,291.0585487927225,288.96763845733796,0.0,0.7183813511258789,0.7183813511258789,400.01469289926234,400.01469289926234,400.173593695012,13.44,13.44,13.22,0.0,1.6369046401112537,35.77453135085825,35.77453135085825,37.83914845838064,0.007343551917001605,0.010005187033675611,10.52484763101209,105083.40898077295,56.99999999999999,0.0,-2.090910335384543,100
medium_80c_5v_seed1,Medium,80,5,1,462.96948506867454,465.43353235727375,449.5442844778361,-0.5322267164613883,2.8998024759336016,3.4138597189084456,599.8829687271846,649.6121102995766,559.4237350289118,24.46,24.34,22.75,0.49059687282924064,6.991005437816625,54.316975102131174,55.014040528356496,52.72275049600595,0.01918888700194657,0.025789584005251526,22.697466458999553,87906.79912629296,66.0,12.0,-13.425200590838267,100
medium_80c_5v_seed2,Medium,80,5,2,480.34721637227085,481.61716281866177,470.7486592004386,-0.26438093177304994,1.9982539389576288,2.256668669076344,651.1272571346731,651.1272571346731,625.0821084459437,22.99,22.78,22.07,0.9134405866271921,4.00173971284298,56.361003398078715,56.19891447414423,54.67734300826337,0.016447651041671632,0.022507499121129513,10.314171300153248,45723.456484803886,57.99999999999999,21.0,-9.598557171832498,100
medium_80c_5v_seed3,Medium,80,5,3,427.43340548321606,427.43340548321606,425.18241183037173,0.0,0.5266302595838448,0.5266302595838448,552.3067803292392,552.3067803292392,573.284606332934,18.69,18.69,18.65,0.0,0.2140181800953499,50.8444151297083,50.8444151297083,51.92149489741108,0.010512690846808255,0.014350742897950113,10.882285668919794,75725.54081618988,56.99999999999999,0.0,-2.250993652844025,100
