instance,size,n_customers,n_vehicles,seed,A_offline_obj,B_offline_obj,offline_overhead_pct,A_avg_cost,B_avg_cost,delta_avg_cost_pct,A_worst_cost,B_worst_cost,delta_worst_cost_pct,A_avg_fail,B_avg_fail,delta_fail_pct,A_cost_std,B_cost_std,delta_std_pct,paired_cost_delta,A_win_count,B_win_count,A_win_rate,trial_count
medium_30c_2v_seed3,Medium,30,2,3,146.5111415622591,80.66309701821862,81.63341971505011,144.8585820834406,168.9786019998155,14.274008443034244,203.0553367865466,234.88141193828986,13.54984836352435,4.53,8.94,49.32885354263383,20.955045950386694,23.939592657549365,12.466989832225046,-24.120019916374922,87.0,13.0,87.0,100
medium_40c_3v_seed1,Medium,40,3,1,189.60759172379002,113.71527547496414,66.73889319780484,189.75955460941333,231.06055703826246,17.874535991017236,264.98884917528403,305.53438126508496,13.270366471334427,8.02,10.87,26.21894882990351,28.092189294640413,32.213856696813615,12.794702953508391,-41.301002428849145,89.0,11.0,89.0,100
medium_40c_3v_seed2,Medium,40,3,2,185.99336166982442,74.39684971767038,150.00166320973693,180.5981154472509,208.2422372822836,13.274983113804911,275.1139628125754,289.6366907205572,5.014118850706466,6.86,11.64,41.065288568274184,30.33026864407133,36.0131757585398,15.780077254975525,-27.644121835032717,71.0,29.0,71.0,100
medium_40c_3v_seed3,Medium,40,3,3,160.65053247427633,75.7470571257603,112.08815044464846,160.86713742045558,160.8450021383078,-0.013761871275771902,208.94797391072245,224.42858879016978,6.897790946732273,7.53,9.76,22.848358314717384,22.431247552113547,24.45999769158557,8.294154734235246,0.0221352821477997,55.0,45.0,55.00000000000001,100
medium_50c_3v_seed1,Medium,50,3,1,256.4472072269845,118.80341143215084,115.85845400865671,252.9708050062574,305.85541072260787,17.290720995063115,331.2804472297047,408.00869303065485,18.805541918977042,10.3,16.51,37.61356525659811,33.80686495801769,38.03453136792087,11.115336897026983,-52.884605716350485,91.0,9.0,91.0,100
medium_50c_3v_seed2,Medium,50,3,2,268.86938964936417,123.560571085231,117.60128436433044,264.7477052008093,326.7179110314833,18.967495732029946,351.44872920996505,404.8767148968511,13.196112229002283,8.4,16.9,50.29585501207957,26.845181182191514,35.36756262389383,24.096603125765544,-61.97020583067397,92.0,8.0,92.0,100
medium_50c_3v_seed3,Medium,50,3,3,240.34435937125778,121.45831282567005,97.88218177888382,240.52483496443682,278.7221992178403,13.704457111989718,313.6999367513339,336.0872650277847,6.661165300208577,9.05,15.08,39.98673474889027,30.48912208954919,31.17064276058387,2.186418337296199,-38.19736425340346,80.0,20.0,80.0,100
medium_60c_4v_seed1,Medium,60,4,1,320.5636479370121,133.63855519791127,139.87362588758546,323.45078755978005,372.6398536820031,13.200162472208124,410.2651426762514,471.21805954123647,12.935182688950201,9.31,17.07,45.45986845577806,36.960963369843846,42.090739890909944,12.18742272644087,-49.189066122223046,81.0,19.0,81.0,100
medium_60c_4v_seed2,Medium,60,4,2,320.8858307982441,129.16169932160315,148.437294092316,315.98143649561126,380.80874980663015,17.023588177513613,474.56447798944,548.7070771349361,13.512236717016721,11.93,18.11,34.1247910477752,43.16724169921015,54.32568472361927,20.539902765659416,-64.82731331101887,85.0,15.0,85.0,100
medium_60c_4v_seed3,Medium,60,4,3,269.3502259921752,120.72585870283756,123.10897506653586,272.08930979310736,309.8724294772047,12.193120810341991,368.3810520631875,434.93911709380416,15.302846401893522,11.73,16.81,30.22010528137386,31.473903538591617,39.688716677494774,20.698106715504476,-37.783119684097336,85.0,15.0,85.0,100
medium_80c_5v_seed1,Medium,80,5,1,410.65464114361237,191.3013681509093,114.66372410868742,410.54856967409165,495.33175899095005,17.116445246630636,580.506311107991,602.5877589785705,3.664436846179739,20.32,26.62,23.666415339353293,53.852837279861994,49.153891619779486,-9.559661320071438,-84.78318931685841,93.0,7.0,93.0,100
medium_80c_5v_seed2,Medium,80,5,2,422.45357702662704,194.08194522624183,117.66763339792983,417.0147990247016,486.1672473329937,14.22400391792068,515.5159800716643,628.0435235617962,17.917156895744938,18.03,25.39,28.987789326987418,42.577313646229555,43.42580312799086,1.9538831779844847,-69.15244830829216,92.0,8.0,92.0,100
medium_80c_5v_seed3,Medium,80,5,3,395.97094142284203,174.47401576639726,126.9512395203916,391.5060134755162,417.71502650370763,6.274376396645806,512.7029789769349,517.8428616970839,0.9925564491329423,15.7,23.91,34.33709601266851,39.37361734561794,36.8959075510949,-6.715405289699825,-26.20901302819139,72.0,28.0,72.0,100
medium_100c_7v_seed1,Medium,100,7,1,669.9199352610414,274.37993971414,144.15776749531716,665.1919620544477,781.9050181719233,14.926756243405134,860.9772367011824,955.0154669406843,9.846775627702224,20.28,29.71,31.74015376169122,73.42831310564827,76.54813944381628,4.075639617212983,-116.71305611747567,89.0,11.0,89.0,100
medium_100c_7v_seed2,Medium,100,7,2,726.3215615799454,282.65459778333656,156.96435411841176,748.0435084658819,810.9941759721779,7.762160243732204,985.6053209904119,1052.811523473835,6.383497994177621,22.62,29.56,23.47767173620866,74.68124922629039,74.83749464615708,0.20877959439669727,-62.950667506295986,77.0,23.0,77.0,100
medium_100c_7v_seed3,Medium,100,7,3,702.3595090300516,285.42148429165286,146.0780101305752,716.5866094770672,877.0049406094066,18.29161087973679,903.4283074908706,1072.3686960471132,15.753946304007036,20.27,33.35,39.22038862907381,63.40821655072879,81.98106142773207,22.65504291722935,-160.4183311323393,95.0,5.0,95.0,100
large_150c_9v_seed1,Large,150,9,1,1152.5134907578422,449.37441892995633,156.4706494646914,1142.2031884300484,1292.7089671292667,11.642665327327945,1382.4001387302164,1546.9012872532926,10.634236966417394,28.83,40.84,29.40744296259935,100.23831020414399,114.06754588479836,12.123724984303475,-150.50577869921847,91.0,9.0,91.0,100
large_150c_9v_seed2,Large,150,9,2,1235.6715500824857,464.8932849463779,165.79681619299183,1230.6028103049277,1437.01603886179,14.364017030760145,1532.8740377228728,1674.2661382083588,8.44501941828618,30.68,43.92,30.145718803603856,91.13673178184335,116.85396930288609,22.00801346705082,-206.4132285568625,93.0,7.0,93.0,100
large_150c_9v_seed3,Large,150,9,3,1175.4648033493545,444.96093016925096,164.17258767016688,1176.6038783989281,1358.3104001265085,13.377393098856993,1454.2155099991496,1646.7205764440882,11.690208357062746,31.21,44.79,30.31926701676117,107.832947917189,130.01450115767153,17.060830040007737,-181.7065217275805,86.0,14.0,86.0,100
